Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Days,50_MA,200_MA,Daily Change
1997-05-15 04:00:00+00:00,0.1218750029802322,0.125,0.0963540002703666,0.0979169979691505,1443120000,0.0,0.0,0,,,-0.023958005011081696
1997-05-16 04:00:00+00:00,0.0984380021691322,0.0989580005407333,0.0854170024394989,0.0864579975605011,294000000,0.0,0.0,1,,,-0.011980004608631106
1997-05-19 04:00:00+00:00,0.0880210027098655,0.0885419994592666,0.0812499970197677,0.0854170024394989,122136000,0.0,0.0,4,,,-0.0026040002703665993
1997-05-20 04:00:00+00:00,0.0864579975605011,0.0874999985098838,0.0817710012197494,0.0817710012197494,109344000,0.0,0.0,5,,,-0.0046869963407517035
1997-05-21 04:00:00+00:00,0.0817710012197494,0.0822919979691505,0.0687500014901161,0.0713540017604827,377064000,0.0,0.0,6,,,-0.01041699945926669
1997-05-22 04:00:00+00:00,0.0718749985098838,0.0723960027098655,0.0656249970197677,0.0697920024394989,235536000,0.0,0.0,7,,,-0.002082996070384896
1997-05-23 04:00:00+00:00,0.0703129991889,0.0760419964790344,0.0666669979691505,0.0750000029802322,318744000,0.0,0.0,8,,,0.004687003791332203
1997-05-27 04:00:00+00:00,0.0755209997296333,0.0822919979691505,0.0729169994592666,0.0791670009493827,173952000,0.0,0.0,12,,,0.003646001219749395
1997-05-28 04:00:00+00:00,0.0812499970197677,0.0817710012197494,0.0765630006790161,0.0765630006790161,91488000,0.0,0.0,13,,,-0.004686996340751606
1997-05-29 04:00:00+00:00,0.0770829990506172,0.0770829990506172,0.0739580020308494,0.0752599984407424,69456000,0.0,0.0,14,,,-0.0018230006098748086
1997-05-30 04:00:00+00:00,0.0750000029802322,0.0755209997296333,0.0739580020308494,0.0750000029802322,51888000,0.0,0.0,15,,,0.0
1997-06-02 04:00:00+00:00,0.0755209997296333,0.0765630006790161,0.0750000029802322,0.0755209997296333,11832000,0.0,0.0,18,,,0.0
1997-06-03 04:00:00+00:00,0.0765630006790161,0.0765630006790161,0.0739580020308494,0.0739580020308494,23664000,0.0,0.0,19,,,-0.002604998648166698
